02Mar2026,TRANSACTION_001,-300,48293.62,
02Mar2026,TRANSACTION_002,-3995,44298.62,
02Mar2026,TRANSACTION_003,-407.4,43891.22,
02Mar2026,TRANSACTION_004,-400.99,43490.23,
02Mar2026,TRANSACTION_005,-3000,40490.23,
02Mar2026,TRANSACTION_006,-1934.55,38555.68,
02Mar2026,TRANSACTION_007,-649,37906.68,
03Mar2026,TRANSACTION_008,-886,37020.68,
04Mar2026,TRANSACTION_009,-837.06,36183.62,
05Mar2026,TRANSACTION_010,-4108.82,32074.8,
05Mar2026,TRANSACTION_011,-82.65,31992.15,
27Mar2026,TRANSACTION_057,100000,41992.15,
